GRAND RAPIDS,MI                 ,29,26,24,11,2,0,0,0,*,5,17,27,140
HOUGHTON LAKE,MI                ,30,28,28,17,5,*,0,*,2,10,21,29,171
LANSING,MI                      ,29,27,24,12,2,*,0,0,1,7,18,27,147
MUSKEGON,MI                     ,29,26,25,11,1,*,0,0,*,4,15,26,137
SAULT STE. MARIE,MI             ,31,28,29,20,6,*,0,*,1,9,22,29,175
DULUTH,MN                       ,31,28,29,20,5,*,0,*,2,12,26,31,183
INTERNATIONAL FALLS,MN          ,31,28,29,22,8,*,*,*,4,17,28,31,198
MINNEAPOLIS-ST.PAUL,MN          ,31,27,25,10,1,0,0,0,*,6,22,30,153
ROCHESTER,MN                    ,30,27,26,13,2,*,0,*,1,10,23,30,163
SAINT CLOUD,MN                  ,31,28,28,16,3,*,0,0,2,12,26,31,176
JACKSON,MS                      ,14,10,4,*,0,0,0,0,0,*,5,12,46
MERIDIAN,MS                     ,15,11,5,*,0,0,0,0,0,1,7,14,52
TUPELO,MS                       ,18,14,7,1,*,0,0,0,*,1,8,15,65
COLUMBIA,MO                     ,27,22,15,3,*,0,0,0,*,2,13,24,106
KANSAS CITY,MO                  ,28,22,14,3,*,0,0,0,*,2,13,25,108
ST. LOUIS,MO                    ,26,21,13,2,*,0,0,0,*,1,11,22,95
SPRINGFIELD,MO                  ,25,20,14,3,*,0,0,0,*,2,13,23,100
BILLINGS,MT                     ,28,24,23,12,2,*,0,0,1,8,21,27,147
GLASGOW,MT                      ,31,28,28,16,3,*,0,0,2,14,27,31,180
GREAT FALLS,MT                  ,27,25,25,16,4,*,0,*,2,11,21,26,157
HAVRE,MT                        ,29,27,28,17,4,*,0,0,3,17,26,30,182
HELENA,MT                       ,29,26,27,17,4,*,0,*,3,15,26,29,178
KALISPELL,MT                    ,29,26,26,16,5,*,*,*,4,17,25,29,178
MISSOULA,MT                     ,30,27,26,17,5,*,*,*,3,17,26,30,179
GRAND ISLAND,NE                 ,31,27,23,8,1,0,0,0,*,6,23,30,148
LINCOLN,NE                      ,30,26,22,8,1,0,0,0,*,6,21,30,144
NORFOLK,NE                      ,31,27,24,10,1,0,0,0,1,8,23,30,154
NORTH PLATTE,NE                 ,31,28,27,14,3,*,0,0,2,14,28,31,175
OMAHA,NE                        ,30,26,21,6,*,0,0,0,*,5,20,29,138
SCOTTSBLUFF,NE                  ,30,27,27,15,3,*,0,*,2,14,27,30,175
VALENTINE,NE                    ,31,28,27,15,3,*,0,0,2,13,27,31,175
ELKO,NV                         ,30,27,28,21,10,2,*,1,9,23,27,30,205
ELY,NV                          ,30,27,29,24,14,3,*,*,7,23,28,30,217
LAS VEGAS,NV                    ,10,4,1,*,0,0,0,0,0,*,2,10,27
RENO,NV                         ,28,24,22,15,5,1,0,*,3,14,23,28,163
WINNEMUCCA,NV                   ,28,24,25,17,6,1,*,*,5,18,25,28,178
CONCORD,NH                      ,30,27,27,16,5,*,0,*,2,13,21,29,171
MT. WASHINGTON,NH               ,31,28,31,28,20,6,1,3,11,23,28,31,240
ATLANTIC CITY,NJ                ,25,22,17,5,*,0,0,0,*,3,12,22,107
NEWARK,NJ                       ,24,22,15,2,0,0,0,0,0,1,7,20,92
ALBUQUERQUE,NM                  ,28,21,14,3,*,0,0,0,0,1,16,27,110
CLAYTON,NM                      ,29,25,21,8,1,*,0,0,*,5,20,28,137
ROSWELL,NM                      ,25,17,8,1,0,0,0,0,0,1,12,24,88
ALBANY,NY                       ,29,26,25,11,1,0,0,0,1,7,18,27,144
BINGHAMTON,NY                   ,29,26,25,12,1,0,0,0,*,6,18,27,144
BUFFALO,NY                      ,28,26,24,10,*,0,0,0,*,3,14,25,130
ISLIP,NY                        ,25,23,17,3,*,0,0,0,0,1,9,21,100
ROCHESTER,NY                    ,28,26,24,10,1,0,0,0,*,3,15,25,132
SYRACUSE,NY                     ,29,26,24,11,1,0,0,0,*,4,15,26,136
ASHEVILLE,NC                    ,22,19,13,4,*,0,0,0,*,4,14,21,98
CAPE HATTERAS,NC                ,9,7,3,*,0,0,0,0,0,*,1,5,25
CHARLOTTE,NC                    ,18,14,8,1,*,0,0,0,0,1,7,16,64
GREENSBORO-WNSTN-SALM-HGHPT,NC  ,21,18,10,2,*,0,0,0,0,1,10,19,81
RALEIGH,NC                      ,19,16,9,2,*,0,0,0,0,1,9,17,73
WILMINGTON,NC                   ,13,10,4,*,0,0,0,0,0,*,3,11,41
BISMARCK,ND                     ,31,28,29,18,4,*,0,0,2,15,28,31,186
FARGO,ND                        ,31,28,28,16,4,*,0,*,2,12,27,31,178
GRAND FORKS,ND                  ,31,28,28,18,5,*,*,*,2,15,28,31,185
WILLISTON,ND                    ,31,28,29,17,5,*,0,*,3,15,28,31,186
AKRON,OH                        ,28,25,21,9,1,*,0,0,*,3,15,25,127
CINCINNATI,OH                   ,25,22,16,4,*,0,0,0,*,3,13,22,105
CLEVELAND,OH                    ,27,24,21,8,1,*,0,0,*,2,13,24,120
COLUMBUS,OH                     ,26,23,18,6,*,0,0,0,*,3,13,23,113
DAYTON,OH                       ,27,23,18,6,*,0,0,0,*,3,14,24,115
MANSFIELD,OH                    ,28,25,21,9,1,0,0,0,0,4,15,25,127
TOLEDO,OH                       ,28,26,22,9,1,*,0,0,*,6,17,26,135
YOUNGSTOWN,OH                   ,28,25,22,10,1,*,0,*,*,4,15,25,131
OKLAHOMA CITY,OK                ,23,16,8,1,*,0,0,0,0,1,8,20,76
TULSA,OK                        ,23,16,9,1,0,0,0,0,0,1,8,19,76
ASTORIA,OR                      ,8,6,5,2,*,0,0,0,0,*,4,8,34
BURNS,OR                        ,30,26,27,21,9,2,*,1,7,22,27,29,202
EUGENE,OR                       ,14,10,7,2,*,*,0,0,*,2,7,11,54
MEDFORD,OR                      ,19,14,10,4,1,*,0,0,*,3,11,16,79
PENDLETON,OR                    ,21,16,11,3,*,0,0,0,*,4,13,20,89
